He is studying English.	彼らは英語を勉強しています。
I am running now.	わたしは今走っています。
My father is watching TV.	わたしの父はテレビを見ています。
They are playing baseball.	彼らは野球をしています。
She is not writing a letter.	彼女は手紙を書いていません。
We are not making a cake.	わたしたちはケーキを作っていません。
You aren't swimming now.	あなたたちは今泳いでいません。
It is not raining.	雨が降っています。
It's not snowing now.	今雪が降っています。
Is he studying hard?	彼らはしっかりと勉強していますか？
Tom and Elena are checking the box?	トムとエレナは箱を調べていますか？
Are you living in Kumamoto? No, I'm not.	あなたは熊本に住んでいますか？ いいえ、違います。
Is he eating curry rice? No, he is.	彼はカレーライスを食べていますか？ いいえ、違います。
Are you taking a bath? Yes, we are.	あなたたちは風呂に入っていますか？ はい、そうです。
Is she sleeping now?  Yes, she is.	彼女は今ねむっていますか？ はい、そうです。
What are you doing?  I am reading a book.	あなたは今何をしていますか？
Where are you going?  I'm going to the school.	あなたはどこへ行きますか？ 学校へ行くところです。
Who is singing?  Mami is.	だれが歌っていますか？ マミです。
Who is comming now?  Tom and Bob are.	だれが今来るのですか？ トムとボブです。
What are you playing?	あなたは何をひいていますか？
Where are you running?	あなたはどこを走っていますか？
Who is dancing?	誰がおどっていますか？
